name,label,layer,token_position,pooling_mode,pc_1,pc_2,pc_3
future_sparsity__layer_1__final_context__per_variate,future_sparsity,1,final_context,per_variate,8.30446,-2.2753801,-0.74684936
future_sparsity__layer_1__final_context__series_mean,future_sparsity,1,final_context,series_mean,7.7004266,-2.2339501,-0.76759267
future_sparsity__layer_1__first_decode__per_variate,future_sparsity,1,first_decode,per_variate,7.7981853,-2.2024765,-0.76912683
future_sparsity__layer_1__first_decode__series_mean,future_sparsity,1,first_decode,series_mean,7.518515,-2.2071435,-0.77541196
future_sparsity__layer_2__all_context__per_variate,future_sparsity,2,all_context,per_variate,8.468804,-2.2320313,-0.7551492
future_sparsity__layer_2__all_context__series_mean,future_sparsity,2,all_context,series_mean,7.7798266,-2.2257376,-0.77022874
future_sparsity__layer_2__final_context__per_variate,future_sparsity,2,final_context,per_variate,8.411366,-2.246548,-0.7509379
future_sparsity__layer_2__final_context__series_mean,future_sparsity,2,final_context,series_mean,7.746945,-2.224296,-0.76873684
future_sparsity__layer_2__first_decode__per_variate,future_sparsity,2,first_decode,per_variate,7.845546,-2.187284,-0.7683618
future_sparsity__layer_2__first_decode__series_mean,future_sparsity,2,first_decode,series_mean,7.536745,-2.201691,-0.77507603
future_sparsity__layer_3__all_context__per_variate,future_sparsity,3,all_context,per_variate,8.532659,-2.212906,-0.7624267
future_sparsity__layer_3__all_context__series_mean,future_sparsity,3,all_context,series_mean,7.809691,-2.2189734,-0.7729088
future_sparsity__layer_3__final_context__per_variate,future_sparsity,3,final_context,per_variate,8.442488,-2.2261682,-0.7575028
future_sparsity__layer_3__final_context__series_mean,future_sparsity,3,final_context,series_mean,7.7657123,-2.2171671,-0.7710694
future_sparsity__layer_3__first_decode__per_variate,future_sparsity,3,first_decode,per_variate,7.927457,-2.1833274,-0.7668726
future_sparsity__layer_3__first_decode__series_mean,future_sparsity,3,first_decode,series_mean,7.570075,-2.200573,-0.77440315
future_sparsity__layer_4__all_context__per_variate,future_sparsity,4,all_context,per_variate,8.566911,-2.2006116,-0.7646534
