name,label,layer,token_position,pooling_mode,pc_1,pc_2,pc_3
current_burstiness__layer_7__final_context__per_variate,current_burstiness,7,final_context,per_variate,-2.3146768,0.35766363,0.3554803
current_burstiness__layer_7__final_context__series_mean,current_burstiness,7,final_context,series_mean,-1.073735,-0.14197885,-0.06129304
current_burstiness__layer_7__first_decode__per_variate,current_burstiness,7,first_decode,per_variate,0.656731,0.02040693,-0.03009405
current_burstiness__layer_7__first_decode__series_mean,current_burstiness,7,first_decode,series_mean,0.6750445,0.011675689,-0.053759575
current_burstiness__layer_8__all_context__per_variate,current_burstiness,8,all_context,per_variate,-0.45078495,-0.01965754,0.19105996
current_burstiness__layer_8__all_context__series_mean,current_burstiness,8,all_context,series_mean,0.25919792,0.008871851,-0.0073830457
current_burstiness__layer_8__final_context__per_variate,current_burstiness,8,final_context,per_variate,-2.3141868,0.3578211,0.35608968
current_burstiness__layer_8__final_context__series_mean,current_burstiness,8,final_context,series_mean,-1.0769557,-0.14329048,-0.06390374
current_burstiness__layer_8__first_decode__per_variate,current_burstiness,8,first_decode,per_variate,0.6572219,0.020686815,-0.029659498
current_burstiness__layer_8__first_decode__series_mean,current_burstiness,8,first_decode,series_mean,0.6723414,0.010052707,-0.056330252
current_burstiness__layer_9__all_context__per_variate,current_burstiness,9,all_context,per_variate,-0.45052886,-0.020554584,0.19207281
current_burstiness__layer_9__all_context__series_mean,current_burstiness,9,all_context,series_mean,0.2570593,0.008878592,-0.011601846
current_burstiness__layer_9__final_context__per_variate,current_burstiness,9,final_context,per_variate,-2.3140204,0.35753927,0.3568359
current_burstiness__layer_9__final_context__series_mean,current_burstiness,9,final_context,series_mean,-1.079386,-0.14337496,-0.0689167
current_burstiness__layer_9__first_decode__per_variate,current_burstiness,9,first_decode,per_variate,0.65769017,0.020618742,-0.028986955
current_burstiness__layer_9__first_decode__series_mean,current_burstiness,9,first_decode,series_mean,0.67003345,0.010731678,-0.060288955
current_burstiness__layer_10__all_context__per_variate,current_burstiness,10,all_context,per_variate,-0.45030102,-0.019595167,0.19112226
current_burstiness__layer_10__all_context__series_mean,current_burstiness,10,all_context,series_mean,0.25665623,0.007452492,-0.0068262946
current_burstiness__layer_10__final_context__per_variate,current_burstiness,10,final_context,per_variate,-2.3140106,0.35814917,0.3557761
current_burstiness__layer_10__final_context__series_mean,current_burstiness,10,final_context,series_mean,-1.0797119,-0.14496422,-0.06451622
current_burstiness__layer_10__first_decode__per_variate,current_burstiness,10,first_decode,per_variate,0.65776837,0.021146672,-0.029805806
current_burstiness__layer_10__first_decode__series_mean,current_burstiness,10,first_decode,series_mean,0.6690315,0.009120765,-0.055182923
current_burstiness__layer_11__all_context__per_variate,current_burstiness,11,all_context,per_variate,-0.45059592,-0.018870518,0.19078198
current_burstiness__layer_11__all_context__series_mean,current_burstiness,11,all_context,series_mean,0.25921056,0.006351757,-0.006578446
current_burstiness__layer_11__final_context__per_variate,current_burstiness,11,final_context,per_variate,-2.3142,0.3592776,0.35688663
current_burstiness__layer_11__final_context__series_mean,current_burstiness,11,final_context,series_mean,-1.0761313,-0.1455885,-0.063350335
current_burstiness__layer_11__first_decode__per_variate,current_burstiness,11,first_decode,per_variate,0.6577611,0.021056172,-0.02967036
current_burstiness__layer_11__first_decode__series_mean,current_burstiness,11,first_decode,series_mean,0.66876346,0.0099330675,-0.055358678
