label,run_arm,field,n,mean,ci_half
shift_risk,fno,inference_sample_latency_ms,5,0.014336197249576799,0.005201596542344269
shift_risk,fno,parameter_count,5,46345.0,0.0
shift_risk,fno,peak_vram_bytes,5,3400135680.0,22519288.816494156
shift_risk,fno,peak_vram_reserved_bytes,5,5652244070.4,25583843.42473181
shift_risk,fno,train_total_time_s,5,10.822867853398202,1.827753353937088
shift_risk,pretrained_lp,approx_forward_flops_per_sample,0,,
shift_risk,pretrained_lp,approx_total_flops,0,,
shift_risk,pretrained_lp,inference_batch_latency_ms,0,,
shift_risk,pretrained_lp,inference_sample_latency_ms,0,,
shift_risk,pretrained_lp,parameter_count,0,,
shift_risk,pretrained_lp,peak_vram_bytes,5,0.0,0.0
shift_risk,pretrained_lp,peak_vram_reserved_bytes,5,0.0,0.0
shift_risk,pretrained_lp,train_total_time_s,5,1.6567622472008225,1.9155426855183626
shift_risk,random_init_lp,approx_forward_flops_per_sample,0,,
shift_risk,random_init_lp,approx_total_flops,0,,
shift_risk,random_init_lp,inference_batch_latency_ms,0,,
shift_risk,random_init_lp,inference_sample_latency_ms,0,,
shift_risk,random_init_lp,parameter_count,0,,
shift_risk,random_init_lp,peak_vram_bytes,5,0.0,0.0
shift_risk,random_init_lp,peak_vram_reserved_bytes,5,0.0,0.0
shift_risk,random_init_lp,train_total_time_s,5,2.840206004597712,2.6736786329988997
